n,name,audio,page_name,question,answer,verseText,verseLocation,album,vol
1,What Is Prayer?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2001%20What%20is%20Prayer-.m4a,what_is_prayer,What is prayer?,"Prayer is praising God for who He is, thanking God for what He's done, and asking Him for things He has promised.","Let your gentleness be clear, for the Lord is near. Do not be anxious, but in everything, by prayer and petition, be thankful, present your requests to God, and the peace of God, which transcends all understanding, will guard your hearts and minds in Christ Jesus.",Philippians 4:5-7,Prayer and The Sacraments,5
2,In Whose Name Should We Pray?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2002%20In%20Whose%20Name%20Should%20We%20Pray-.m4a,in_whose_name_should_we_pray,In whose name should we pray?,"We should pray only in the name of Christ, our mediator.","For, there is one God and one mediator between God and man, the man Jesus Christ.",I Timothy 2:5,Prayer and The Sacraments,5
3,What Guide Has Christ Given to Teach Us How to Pray?,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2003%20What%20Guide%20Has%20Christ%20Given%20to%20Teach%20us%20How%20to%20Pray-.m4a,what_guide_has_christ_given_to_teach_us_how_to_pray,What guide has Christ given us to teach us how to pray?,Christ has given us the Lord's Prayer to teach us how to pray.,"""Don't pray like the pagans; they babble all the time. Your Father knows what you need even before you ask""",Matthew 6:7-9,Prayer and The Sacraments,5
4,The Lord's Prayer,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2004%20The%20Lord’s%20Prayer.m4a,the_lord's_prayer,What is the Lord's Prayer?,,"Our Father who art in heaven, hallowed be thy name. Thy kingdom come, thy will be done on earth as it is in heaven. Give us this day our daily bread. Forgive us our debts, as we also have forgiven our debtors. Do not lead us into temptation, but deliver us from evil. For thine is the kingdom and the power and the glory for ever. Amen.",Matthew 6:9-13,Prayer and The Sacraments,5
5,Hallowed Be Thy Name,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2005%20Hallowed%20Be%20Thy%20Name.m4a,hallowed_be_thy_name,What is the first petition of the Lord's Prayer?,Hallowed be thy name.,"Oh, the depth of the riches, Oh, the depth of the wisdom, Oh, the depth of the knowledge of God! How unsearchable His judgments and His paths beyond tracing out! Who has known the mind of the Lord? Or who has been His counselor? Who has ever given to God that God should repay them? For from Him and through Him and to Him are all things. To Him be the glory forever! Amen.",Romans 11:33-36,Prayer and The Sacraments,5
6,Thy Kingdom Come,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2006%20Thy%20Kingdom%20Come.m4a,thy_kingdom_come,What is the second petition of the Lord's Prayer?,Thy kingdom come.,"Brothers and sisters, please pray for us that the message of the Lord may be spread rapidly and be honored, as it was with you. We pray the Gospel be preached in all the world and believed and obeyed by more and more, and God's kingdom may be established on the earth as it was with you.",2 Thessalonians 3:1,Prayer and The Sacraments,5
7,Thy Will Be Done On Earth as It Is in Heaven,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2007%20Thy%20Will%20Be%20Done%20on%20Earth%20As%20It%20Is%20in%20Heaven.m4a,thy_will_be_done_on_earth_as_it_is_in_heaven,What is the third petition of the Lord's Prayer?,"Thy will be done on earth as it is in heaven. We pray that men on earth may serve God, as the angels in heaven serve God.","Praise the Lord, you His angels, you mighty ones who do His word, who obey His word. Praise the Lord, all His heavenly hosts, you His servants who do His will. Praise the Lord, all His works everywhere in His dominion. Praise the Lord, O my soul, praise the Lord.",Psalm 103:20-22,Prayer and The Sacraments,5
8,Give Us This Day Our Daily Bread,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2008%20Give%20Us%20This%20Day%20Our%20Daily%20Bread.m4a,give_us_this_day_our_daily_bread,What is the fourth petition of the Lord's Prayer?,Give us this day our daily bread.,"Keep falsehood and lies far from me, You despise them; give me neither poverty nor riches. Give us this day our daily bread.",Proverbs 30:8,Prayer and The Sacraments,5
9,As We Forgive Our Debtors,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2009%20As%20We%20Forgive%20Our%20Debtors.m4a,as_we_forgive_our_debtors,What is the fifth petition of the Lord's Prayer?,"Forgive us our debts, as we forgive our debtors.","For if you forgive others when they sin against you, your heavenly Father will also forgive you. But if you do not forgive others, when they sin against you, your heavenly Father will not forgive your sins.",Matthew 6:14-15,Prayer and The Sacraments,5
10,Lead Us Not Into Temptation,https://tgc-audio.s3.amazonaws.com/SfS/acc/English/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments/Dana%20Dirksen%20-%20Questions%20with%20Answers%20Vol.%205-%20Prayer%20and%20the%20Sacraments%20-%2010%20Lead%20Us%20Not%20into%20Temptation.m4a,lead_us_not_into_temptation,What is the sixth petition of the Lord's Prayer?,Lead us not into temptation but deliver us from evil.,"Watch and pray so that you won't fall into temptation. The spirit is willing, but the flesh is weak.",Matthew 26:41,Prayer and The Sacraments,5
